CFU/mL,Sensor1,Sensor2,Sensor3
49113684.21,-84.97317739,99.8388499,61.63430019
49027368.42,-85.30635478,99.79769981,61.62060039
48941052.63,-85.63953216,99.75654971,61.60690058
48854736.84,-85.97270955,99.71539961,61.59320078
48768421.05,-86.30588694,99.67424951,61.57950097
48682105.26,-86.63906433,99.63309942,61.56580117
48595789.47,-86.97224172,99.59194932,61.55210136
48509473.68,-87.3054191,99.55079922,61.53840156
48423157.89,-87.63859649,99.50964912,61.52470175
48336842.11,-87.97177388,99.46849903,61.51100195
48250526.32,-88.30495127,99.42734893,61.49730214
48164210.53,-88.63812865,99.38619883,61.48360234
48077894.74,-88.97130604,99.34504873,61.46990253
47991578.95,-89.30448343,99.30389864,61.45620273
47905263.16,-89.63766082,99.26274854,61.44250292
47818947.37,-89.97083821,99.22159844,61.42880312
47732631.58,-90.30401559,99.18044834,61.41510331
47646315.79,-90.63719298,99.13929825,61.40140351
47560000,-90.97037037,99.09814815,61.3877037
47473684.21,-91.30354776,99.05699805,61.3740039
47387368.42,-91.63672515,99.01584795,61.36030409
47301052.63,-91.96990253,98.97469786,61.34660429
47214736.84,-92.30307992,98.93354776,61.33290448
47128421.05,-92.63625731,98.89239766,61.31920468
47042105.26,-92.9694347,98.85124756,61.30550487
46955789.47,-93.30261209,98.81009747,61.29180507
46869473.68,-93.63578947,98.76894737,61.27810526
46783157.89,-93.96896686,98.72779727,61.26440546
46696842.11,-94.30214425,98.68664717,61.25070565
46610526.32,-94.63532164,98.64549708,61.23700585
46524210.53,-94.96849903,98.60434698,61.22330604
46437894.74,-95.30167641,98.56319688,61.20960624
46351578.95,-95.6348538,98.52204678,61.19590643
46265263.16,-95.96803119,98.48089669,61.18220663
46178947.37,-96.30120858,98.43974659,61.16850682
46092631.58,-96.63438596,98.39859649,61.15480702
46006315.79,-96.96756335,98.35744639,61.14110721
45920000,-97.30074074,98.3162963,61.12740741
45833684.21,-97.63391813,98.2751462,61.1137076
45747368.42,-97.96709552,98.2339961,61.1000078
45661052.63,-98.3002729,98.192846,61.08630799
45574736.84,-98.63345029,98.15169591,61.07260819
45488421.05,-98.96662768,98.11054581,61.05890838
45402105.26,-99.29980507,98.06939571,61.04520858
45315789.47,-99.63298246,98.02824561,61.03150877
45229473.68,-99.96615984,97.98709552,61.01780897
45143157.89,-100.2993372,97.94594542,61.00410916
45056842.11,-100.6325146,97.90479532,60.99040936
44970526.32,-100.965692,97.86364522,60.97670955
44884210.53,-101.2988694,97.82249513,60.96300975
44797894.74,-101.6320468,97.78134503,60.94930994
44711578.95,-101.9652242,97.74019493,60.93561014
44625263.16,-102.2984016,97.69904483,60.92191033
44538947.37,-102.6315789,97.65789474,60.90821053
44452631.58,-102.9647563,97.61674464,60.89451072
44366315.79,-103.2979337,97.57559454,60.88081092
44280000,-103.6311111,97.53444444,60.86711111
44193684.21,-103.9642885,97.49329435,60.85341131
44107368.42,-104.2974659,97.45214425,60.8397115
44021052.63,-104.6306433,97.41099415,60.8260117
43934736.84,-104.9638207,97.36984405,60.81231189
43848421.05,-105.2969981,97.32869396,60.79861209
43762105.26,-105.6301754,97.28754386,60.78491228
43675789.47,-105.9633528,97.24639376,60.77121248
43589473.68,-106.2965302,97.20524366,60.75751267
43503157.89,-106.6297076,97.16409357,60.74381287
43416842.11,-106.962885,97.12294347,60.73011306
43330526.32,-107.2960624,97.08179337,60.71641326
43244210.53,-107.6292398,97.04064327,60.70271345
43157894.74,-107.9624172,96.99949318,60.68901365
43071578.95,-108.2955945,96.95834308,60.67531384
42985263.16,-108.6287719,96.91719298,60.66161404
42898947.37,-108.9619493,96.87604288,60.64791423
42812631.58,-109.2951267,96.83489279,60.63421442
42726315.79,-109.6283041,96.79374269,60.62051462
42640000,-109.9614815,96.75259259,60.60681481
42553684.21,-110.2946589,96.7114425,60.59311501
42467368.42,-110.6278363,96.6702924,60.5794152
42381052.63,-110.9610136,96.6291423,60.5657154
42294736.84,-111.294191,96.5879922,60.55201559
42208421.05,-111.6273684,96.54684211,60.53831579
42122105.26,-111.9605458,96.50569201,60.52461598
42035789.47,-112.2937232,96.46454191,60.51091618
41949473.68,-112.6269006,96.42339181,60.49721637
41863157.89,-112.960078,96.38224172,60.48351657
41776842.11,-113.2932554,96.34109162,60.46981676
41690526.32,-113.6264327,96.29994152,60.45611696
41604210.53,-113.9596101,96.25879142,60.44241715
41517894.74,-114.2927875,96.21764133,60.42871735
41431578.95,-114.6259649,96.17649123,60.41501754
41345263.16,-114.9591423,96.13534113,60.40131774
41258947.37,-115.2923197,96.09419103,60.38761793
41172631.58,-115.6254971,96.05304094,60.37391813
41086315.79,-115.9586745,96.01189084,60.36021832
41000000,-116.2918519,95.97074074,60.34651852
40913684.21,-116.6250292,95.92959064,60.33281871
40827368.42,-116.9582066,95.88844055,60.31911891
40741052.63,-117.291384,95.84729045,60.3054191
40654736.84,-117.6245614,95.80614035,60.2917193
40568421.05,-117.9577388,95.76499025,60.27801949
40482105.26,-118.2909162,95.72384016,60.26431969
40395789.47,-118.6240936,95.68269006,60.25061988
40309473.68,-118.957271,95.64153996,60.23692008
40223157.89,-119.2904483,95.60038986,60.22322027
40136842.11,-119.6236257,95.55923977,60.20952047
40050526.32,-119.9568031,95.51808967,60.19582066
39964210.53,-120.2899805,95.47693957,60.18212086
39877894.74,-120.6231579,95.43578947,60.16842105
39791578.95,-120.9563353,95.39463938,60.15472125
39705263.16,-121.2895127,95.35348928,60.14102144
39618947.37,-121.6226901,95.31233918,60.12732164
39532631.58,-121.9558674,95.27118908,60.11362183
39446315.79,-122.2890448,95.23003899,60.09992203
39360000,-122.6222222,95.18888889,60.08622222
39273684.21,-122.9553996,95.14773879,60.07252242
39187368.42,-123.288577,95.10658869,60.05882261
39101052.63,-123.6217544,95.0654386,60.04512281
39014736.84,-123.9549318,95.0242885,60.031423
38928421.05,-124.2881092,94.9831384,60.0177232
38842105.26,-124.6212865,94.9419883,60.00402339
38755789.47,-124.9544639,94.90083821,59.99032359
38669473.68,-125.2876413,94.85968811,59.97662378
38583157.89,-125.6208187,94.81853801,59.96292398
38496842.11,-125.9539961,94.77738791,59.94922417
